year,month,precipitation
1983,12,0.6000000000000001
1984,1,1.7000000000000002
1984,2,3.9000000000000004
1984,3,1.3
1984,4,12.3
1984,5,44.4
1984,6,110.10000000000001
1984,7,138.0
1984,8,143.5
1984,9,46.5
1984,10,3.0
1984,11,6.5
1984,12,0.2
1985,1,2.1
1985,2,2.9
1985,3,2.3
1985,4,10.100000000000001
1985,5,3.0
1985,6,93.89999999999999
1985,7,95.80000000000001
1985,8,299.8
1985,9,44.0
1985,10,13.799999999999999
1985,11,4.7
1985,12,3.2
1986,1,0.2
1986,2,2.7
1986,3,13.3
1986,4,7.6000000000000005
1986,5,35.2
1986,6,98.30000000000001
1986,7,221.9
1986,8,77.0
1986,9,32.9
1986,10,7.1
1986,11,2.2
1986,12,1.8
1987,1,4.8
1987,2,1.0
1987,3,1.9000000000000001
1987,4,0.8
1987,5,16.2
1987,6,39.6
1987,7,99.8
1987,8,121.3
1987,9,112.3
1987,10,15.2
1987,11,9.700000000000001
1987,12,5.5
1988,1,0.6000000000000001
1988,2,1.8000000000000003
1988,3,3.3000000000000003
1988,4,10.400000000000002
1988,5,97.9
1988,6,68.7
1988,7,213.20000000000002
1988,8,51.800000000000004
1988,9,70.60000000000001
1988,10,11.4
1988,11,6.7
1988,12,7.1000000000000005
1989,1,1.6
1989,2,0.0
1989,3,8.5
1989,4,18.900000000000002
1989,5,19.7
1989,6,133.8
1989,7,225.0
1989,8,141.3
1989,9,29.200000000000003
1989,10,8.6
1989,11,0.0
1989,12,14.3
1990,1,1.3
1990,2,1.8
1990,3,0.0
1990,4,17.1
1990,5,50.099999999999994
1990,6,126.3
1990,7,105.5
1990,8,169.20000000000002
1990,9,78.0
1990,10,1.6
1990,11,10.0
1990,12,3.3000000000000003
1991,1,0.5
1991,2,2.6
1991,3,0.4
1991,4,15.100000000000001
1991,5,14.9
1991,6,137.9
1991,7,190.2
1991,8,119.30000000000001
1991,9,75.9
1991,10,12.100000000000001
1991,11,4.4
1991,12,9.8
1992,1,0.39999999999999997
1992,2,1.0
1992,3,0.8
1992,4,8.3
1992,5,3.3
1992,6,73.5
1992,7,70.0
1992,8,94.5
1992,9,51.800000000000004
1992,10,20.5
1992,11,7.0
1992,12,2.4000000000000004
1993,1,0.5
1993,2,0.9
1993,3,5.9
1993,4,3.6
1993,5,42.9
1993,6,132.0
1993,7,180.2
1993,8,138.8
1993,9,116.5
1993,10,11.5
1993,11,5.800000000000001
1993,12,1.6
1994,1,2.5
1994,2,0.0
1994,3,7.5
1994,4,20.6
1994,5,18.6
1994,6,55.1
1994,7,135.9
1994,8,50.6
1994,9,71.7
1994,10,73.7
1994,11,2.6
1994,12,1.9
1995,1,0.39999999999999997
1995,2,1.1
1995,3,8.2
1995,4,24.8
1995,5,18.3
1995,6,76.80000000000001
1995,7,53.0
1995,8,48.300000000000004
1995,9,96.80000000000001
1995,10,4.6000000000000005
1995,11,2.4
1995,12,6.0
1996,1,1.6
1996,2,0.1
1996,3,8.100000000000001
1996,4,32.1
1996,5,30.9
1996,6,116.60000000000001
1996,7,151.2
1996,8,88.5
1996,9,13.5
1996,10,9.6
1996,11,9.5
1996,12,4.6000000000000005
1997,1,3.4000000000000004
1997,2,2.6
1997,3,3.5000000000000004
1997,4,2.2
1997,5,44.7
1997,6,42.1
1997,7,109.9
1997,8,295.0
1997,9,46.400000000000006
1997,10,9.2
1997,11,0.1
1997,12,3.7
1998,1,0.8
1998,2,3.8000000000000003
1998,3,0.30000000000000004
1998,4,5.9
1998,5,34.1
1998,6,157.3
1998,7,256.2
1998,8,175.0
1998,9,44.4
1998,10,52.400000000000006
1998,11,16.1
1998,12,4.1
1999,1,3.1
1999,2,1.2
1999,3,4.7
1999,4,4.300000000000001
1999,5,8.5
1999,6,50.800000000000004
1999,7,56.7
1999,8,128.7
1999,9,35.900000000000006
1999,10,28.6
1999,11,1.4000000000000001
1999,12,5.4
2000,1,3.2
2000,2,1.2
2000,3,7.9
2000,4,20.3
2000,5,28.1
2000,6,87.10000000000001
2000,7,71.8
2000,8,59.400000000000006
2000,9,26.700000000000003
2000,10,19.6
2000,11,1.6
2000,12,5.1
2001,1,3.3
2001,2,0.8
2001,3,12.500000000000002
2001,4,13.1
2001,5,68.2
2001,6,30.3
2001,7,153.6
2001,8,74.50000000000001
2001,9,14.0
2001,10,8.4
2001,11,1.8000000000000003
2001,12,7.6000000000000005
2002,1,5.2
2002,2,0.1
2002,3,1.3
2002,4,45.4
2002,5,19.3
2002,6,114.2
2002,7,154.3
2002,8,66.10000000000001
2002,9,14.6
2002,10,18.200000000000003
2002,11,7.300000000000001
2002,12,2.4000000000000004
2003,1,3.5
2003,2,1.0
2003,3,1.8
2003,4,11.600000000000001
2003,5,9.1
2003,6,114.30000000000001
2003,7,131.4
2003,8,129.1
2003,9,64.2
2003,10,8.4
2003,11,15.8
2003,12,4.6
2004,1,0.1
2004,2,6.1000000000000005
2004,3,3.9000000000000004
2004,4,27.6
2004,5,53.1
2004,6,5.4
2004,7,44.300000000000004
2004,8,105.7
2004,9,43.5
2004,10,21.6
2004,11,9.8
2004,12,9.6
2005,1,1.0
2005,2,2.2
2005,3,10.7
2005,4,38.7
2005,5,62.2
2005,6,66.6
2005,7,162.20000000000002
2005,8,14.1
2005,9,39.7
2005,10,2.5
2005,11,3.6000000000000005
2005,12,5.1
2006,1,3.8000000000000003
2006,2,3.2
2006,3,10.6
2006,4,5.4
2006,5,1.5
2006,6,142.8
2006,7,174.10000000000002
2006,8,35.7
2006,9,33.400000000000006
2006,10,14.1
2006,11,7.000000000000001
2006,12,1.3
2007,1,1.8000000000000003
2007,2,0.0
2007,3,13.700000000000001
2007,4,20.7
2007,5,48.9
2007,6,29.1
2007,7,44.2
2007,8,54.2
2007,9,2.6
2007,10,4.2
2007,11,0.6
2007,12,4.2
2008,1,0.1
2008,2,1.1
2008,3,6.5
2008,4,5.300000000000001
2008,5,66.0
2008,6,159.5
2008,7,83.8
2008,8,82.0
2008,9,21.200000000000003
2008,10,25.8
2008,11,4.800000000000001
2008,12,2.8000000000000003
2009,1,3.7
2009,2,4.1
2009,3,19.5
2009,4,5.5
2009,5,3.7
2009,6,168.5
2009,7,57.2
2009,8,182.4
2009,9,67.9
2009,10,4.0
2009,11,6.0
2009,12,6.0
2010,1,1.8
2010,2,8.3
2010,3,4.0
2010,4,21.3
2010,5,51.7
2010,6,36.2
2010,7,107.80000000000001
2010,8,129.6
2010,9,16.0
2010,10,4.300000000000001
2010,11,14.700000000000001
2010,12,17.3
2011,1,1.2
2011,2,1.3
2011,3,5.6000000000000005
2011,4,11.8
2011,5,54.3
2011,6,29.9
2011,7,281.4
2011,8,43.3
2011,9,19.3
2011,10,0.39999999999999997
2011,11,11.0
2011,12,2.4000000000000004
2012,1,0.2
2012,2,0.0
2012,3,6.3
2012,4,7.4
2012,5,47.2
2012,6,128.8
2012,7,161.4
2012,8,21.4
2012,9,82.3
2012,10,30.8
2012,11,9.8
2012,12,10.0
2013,1,2.8
2013,2,3.7
2013,3,12.100000000000001
2013,4,21.799999999999997
2013,5,57.4
2013,6,153.5
2013,7,223.10000000000002
2013,8,127.4
2013,9,58.4
2013,10,17.4
2013,11,4.5
2013,12,3.0
2014,1,5.1000000000000005
2014,2,8.0
2014,3,3.1
2014,4,7.6000000000000005
2014,5,58.300000000000004
2014,6,129.4
2014,7,208.2
2014,8,120.89999999999999
2014,9,66.4
2014,10,28.7
2014,11,9.600000000000001
2014,12,7.5
2015,1,0.0
2015,2,3.6
2015,3,3.9000000000000004
2015,4,11.3
2015,5,60.900000000000006
2015,6,153.9
2015,7,41.5
2015,8,179.3
2015,9,82.7
2015,10,14.3
2015,11,1.5
2015,12,12.3
2016,1,0.2
2016,2,1.1
2016,3,12.900000000000002
2016,4,23.5
2016,5,30.800000000000004
2016,6,127.2
2016,7,78.0
2016,8,82.30000000000001
2016,9,161.60000000000002
2016,10,20.0
2016,11,15.0
2016,12,1.9000000000000001
2017,1,1.2
2017,2,6.3999999999999995
2017,3,5.9
2017,4,15.6
2017,5,15.2
2017,6,64.4
2017,7,63.0
2017,8,95.30000000000001
2017,9,41.800000000000004
2017,10,20.5
2017,11,9.3
2017,12,2.1
