year,month,precipitation
1983,10,15.200000000000001
1983,11,23.400000000000002
1983,12,3.6000000000000005
1984,1,4.800000000000001
1984,2,2.1
1984,3,4.1
1984,4,27.7
1984,5,51.900000000000006
1984,6,54.8
1984,7,124.7
1984,8,251.70000000000002
1984,9,63.6
1984,10,21.5
1984,11,15.4
1984,12,2.4000000000000004
1985,1,4.2
1985,2,5.1000000000000005
1985,3,3.6000000000000005
1985,4,23.700000000000003
1985,5,37.300000000000004
1985,6,47.4
1985,7,46.5
1985,8,107.7
1985,9,63.50000000000001
1985,10,39.4
1985,11,4.2
1985,12,1.7000000000000002
1986,1,4.7
1986,2,2.2
1986,3,7.2
1986,4,9.0
1986,5,10.5
1986,6,58.50000000000001
1986,7,127.10000000000001
1986,8,75.2
1986,9,6.4
1986,10,11.8
1986,11,2.1
1986,12,4.0
1987,1,4.7
1987,2,5.1000000000000005
1987,3,5.0
1987,4,7.000000000000001
1987,5,11.7
1987,6,65.4
1987,7,36.800000000000004
1987,8,105.5
1987,9,75.0
1987,10,54.4
1987,11,11.8
1987,12,10.700000000000001
1988,1,3.7
1988,2,2.0
1988,3,1.4000000000000001
1988,4,30.8
1988,5,59.1
1988,6,65.7
1988,7,97.7
1988,8,75.10000000000001
1988,9,19.400000000000002
1988,10,2.7
1988,11,14.0
1988,12,6.0
1989,1,4.3
1989,2,0.2
1989,3,18.6
1989,4,15.200000000000001
1989,5,8.9
1989,6,164.4
1989,7,120.7
1989,8,91.30000000000001
1989,9,48.6
1989,10,39.6
1989,11,14.600000000000001
1989,12,11.500000000000002
1990,1,4.4
1990,2,11.0
1990,3,6.6
1990,4,29.299999999999997
1990,5,19.6
1990,6,112.4
1990,7,78.5
1990,8,144.4
1990,9,37.1
1990,10,27.900000000000002
1990,11,22.1
1990,12,9.700000000000001
1991,1,11.5
1991,2,1.5
1991,3,17.0
1991,4,19.7
1991,5,22.7
1991,6,127.5
1991,7,51.7
1991,8,72.2
1991,9,45.0
1991,10,10.5
1991,11,25.900000000000002
1991,12,12.9
1992,1,6.9
1992,2,11.3
1992,3,0.8
1992,4,29.0
1992,5,11.7
1992,6,72.2
1992,7,44.0
1992,8,125.80000000000001
1992,9,48.900000000000006
1992,10,6.3999999999999995
1992,11,16.1
1992,12,11.1
1993,1,5.4
1993,2,5.7
1993,3,0.2
1993,4,28.4
1993,5,60.5
1993,6,106.1
1993,7,159.6
1993,8,146.1
1993,9,67.0
1993,10,2.4000000000000004
1993,11,4.1
1993,12,6.4
1994,1,6.2
1994,2,4.5
1994,3,10.5
1994,4,42.2
1994,5,45.1
1994,6,67.0
1994,7,65.0
1994,8,48.7
1994,9,124.9
1994,10,3.2
1994,11,13.8
1994,12,4.2
1995,1,7.4
1995,2,3.3000000000000003
1995,3,4.300000000000001
1995,4,21.5
1995,5,75.4
1995,6,35.5
1995,7,119.9
1995,8,108.8
1995,9,53.8
1995,10,4.2
1995,11,16.2
1995,12,10.100000000000001
1996,1,12.0
1996,2,3.0
1996,3,4.5
1996,4,35.0
1996,5,27.0
1996,6,153.3
1996,7,52.5
1996,8,72.5
1996,9,53.7
1996,10,13.200000000000001
1996,11,26.3
1996,12,19.3
1997,1,15.5
1997,2,1.3
1997,3,8.4
1997,4,17.0
1997,5,63.800000000000004
1997,6,72.0
1997,7,36.1
1997,8,121.0
1997,9,34.5
1997,10,29.200000000000003
1997,11,10.8
1997,12,8.600000000000001
1998,1,9.6
1998,2,4.2
1998,3,2.0
1998,4,15.5
1998,5,43.3
1998,6,112.10000000000001
1998,7,105.30000000000001
1998,8,57.10000000000001
1998,9,66.9
1998,10,54.1
1998,11,11.4
1998,12,14.600000000000001
1999,1,14.600000000000001
1999,2,3.0
1999,3,5.800000000000001
1999,4,52.7
1999,5,12.3
1999,6,22.400000000000002
1999,7,146.0
1999,8,103.10000000000001
1999,9,74.3
1999,10,33.8
1999,11,6.9
1999,12,11.4
2000,1,13.4
2000,2,0.0
2000,3,10.200000000000001
2000,4,37.2
2000,5,12.9
2000,6,47.300000000000004
2000,7,113.30000000000001
2000,8,48.0
2000,9,33.5
2000,10,39.6
2000,11,27.2
2000,12,3.2
2001,1,9.200000000000001
2001,2,3.6000000000000005
2001,3,19.1
2001,4,10.2
2001,5,79.30000000000001
2001,6,48.300000000000004
2001,7,165.20000000000002
2001,8,46.5
2001,9,62.900000000000006
2001,10,50.7
2001,11,6.7
2001,12,5.0
2002,1,19.9
2002,2,7.4
2002,3,2.9000000000000004
2002,4,20.900000000000002
2002,5,36.0
2002,6,44.400000000000006
2002,7,35.4
2002,8,42.2
2002,9,24.8
2002,10,36.4
2002,11,9.8
2002,12,6.7
2003,1,7.0
2003,2,3.2
2003,3,1.3000000000000003
2003,4,21.1
2003,5,13.1
2003,6,112.9
2003,7,125.5
2003,8,173.0
2003,9,29.1
2003,10,42.400000000000006
2003,11,13.600000000000001
2003,12,10.9
2004,1,5.700000000000001
2004,2,7.1
2004,3,13.8
2004,4,15.2
2004,5,50.5
2004,6,51.6
2004,7,107.7
2004,8,130.1
2004,9,66.4
2004,10,6.4
2004,11,11.200000000000001
2004,12,5.9
2005,1,4.9
2005,2,2.5
2005,3,1.0
2005,4,10.0
2005,5,47.900000000000006
2005,6,47.199999999999996
2005,7,82.8
2005,8,55.300000000000004
2005,9,57.0
2005,10,10.500000000000002
2005,11,18.8
2005,12,6.4
2006,1,5.3
2006,2,4.4
2006,3,5.2
2006,4,15.400000000000002
2006,5,5.7
2006,6,130.9
2006,7,120.89999999999999
2006,8,160.8
2006,9,25.2
2006,10,6.3
2006,11,20.6
2006,12,7.0
2007,1,3.2
2007,2,12.0
2007,3,2.6
2007,4,2.4000000000000004
2007,5,48.300000000000004
2007,6,59.0
2007,7,80.5
2007,8,81.7
2007,9,23.8
2007,10,21.4
2007,11,6.6000000000000005
2007,12,4.6
2008,1,0.4
2008,2,4.0
2008,3,6.9
2008,4,1.1
2008,5,58.7
2008,6,18.200000000000003
2008,7,46.0
2008,8,97.4
2008,9,108.8
2008,10,82.3
2008,11,23.900000000000002
2008,12,7.500000000000001
2009,1,6.1000000000000005
2009,2,8.4
2009,3,8.5
2009,4,7.0
2009,5,20.9
2009,6,97.0
2009,7,145.1
2009,8,105.50000000000001
2009,9,104.7
2009,10,10.100000000000001
2009,11,7.4
2009,12,23.2
2010,1,11.6
2010,2,4.5
2010,3,2.3000000000000003
2010,4,6.200000000000001
2010,5,22.2
2010,6,27.4
2010,7,153.0
2010,8,97.4
2010,9,24.599999999999998
2010,10,57.0
2010,11,11.5
2010,12,21.8
2011,1,2.6
2011,2,9.0
2011,3,9.9
2011,4,3.8000000000000003
2011,5,62.6
2011,6,57.400000000000006
2011,7,115.0
2011,8,111.39999999999999
2011,9,21.1
2011,10,13.5
2011,11,13.4
2011,12,5.0
2012,1,3.3000000000000003
2012,2,1.0
2012,3,4.2
2012,4,4.7
2012,5,27.700000000000003
2012,6,76.1
2012,7,115.5
2012,8,136.8
2012,9,89.7
2012,10,8.2
2012,11,12.4
2012,12,8.700000000000001
2013,1,6.1000000000000005
2013,2,3.6
2013,3,3.3000000000000003
2013,4,38.9
2013,5,115.6
2013,6,25.8
2013,7,212.3
2013,8,117.30000000000001
2013,9,65.5
2013,10,3.7
2013,11,7.4
2013,12,9.8
2014,1,4.4
2014,2,1.8
2014,3,0.0
2014,4,6.7
2014,5,41.6
2014,6,48.2
2014,7,139.5
2014,8,85.7
2014,9,30.8
2014,10,31.2
2014,11,24.3
2014,12,3.1
2015,1,5.4
2015,2,10.5
2015,3,6.2
2015,4,52.6
2015,5,89.8
2015,6,39.2
2015,7,138.3
2015,8,117.7
2015,9,36.5
2015,10,31.7
2015,11,11.4
2015,12,6.6000000000000005
2016,1,4.1
2016,2,5.2
2016,3,11.5
2016,4,49.2
2016,5,39.7
2016,6,113.30000000000001
2016,7,119.50000000000001
2016,8,58.2
2016,9,37.5
2016,10,12.700000000000001
2016,11,8.5
2016,12,7.5
2017,1,1.6
2017,2,0.2
2017,3,3.4000000000000004
2017,4,15.100000000000001
2017,5,56.50000000000001
2017,6,18.8
2017,7,94.2
2017,8,182.4
2017,9,32.6
2017,10,7.700000000000001
2017,11,8.100000000000001
2017,12,3.5
2018,1,4.7
2018,2,1.5
2018,3,1.7000000000000002
2018,4,17.3
2018,5,28.5
2018,6,92.7
2018,7,136.3
2018,8,39.8
2018,9,87.0
2018,10,17.6
2018,11,15.6
2018,12,7.9
2019,1,2.6
2019,2,1.8
2019,3,6.4
2019,4,17.7
2019,5,65.2
2019,6,33.1
2019,7,205.0
2019,8,44.6
2019,9,66.9
2019,10,26.0
2019,11,12.000000000000002
2019,12,3.1
2020,1,0.6
2020,2,6.5
2020,3,13.000000000000002
2020,4,4.4
2020,5,22.8
2020,6,47.7
2020,7,69.4
2020,8,173.10000000000002
2020,9,51.5
2020,10,31.900000000000002
2020,11,13.7
2020,12,2.3000000000000003
